sentence,path
Jàmm gua fanane!,2022_03_24_12_39_14
Jàmm gua yendoo!,2022_03_24_12_39_20
Ngoonu Jamm,2022_03_24_12_39_45
Gudi wu Jàmm!,2022_03_24_12_39_50
Nu.fanaan.ak.jàmm,2022_03_24_12_39_55
Nu yendu ak jàmm.,2022_03_24_12_40_00
Na nga def?,2022_03_24_12_40_10
Na nga def!,2022_03_24_12_40_05
Maa ngi fi! rek!!,2022_03_24_12_40_15
Maa ngi sant!!,2022_03_24_12_40_20
yaw nak?,2022_03_24_12_40_25
nekh na deg,2022_03_24_12_40_32
dalal ak jàmm.,2022_03_24_12_40_40
yako mom,2022_03_24_12_40_46
jërëjef,2022_03_24_12_40_49
Ba beneen yoon,2022_03_24_12_40_55
Ba.fan.yii,2022_03_24_12_40_58
Ba.suba.,2022_03_24_12_41_03
Nu.yendu.ak.jàmm.,2022_03_24_12_41_10
Bëg naa ci xame gi,2022_03_24_12_41_13
lu bees,2022_03_24_12_41_19
Nelaw nga bu baax?,2022_03_24_12_41_24
naka guan yeendo?,2022_03_24_12_41_26
naka nga tudd?,2022_03_24_12_41_31
xxx laa tudd,2022_03_24_12_42_10
Gej na la giss,2022_03_24_12_42_16
Tey,2022_03_24_12_42_19
Suba,2022_03_24_12_42_21
Guddi,2022_03_24_12_42_23
Léegi,2022_03_24_12_42_31
Démb,2022_03_24_12_42_33
ayubées yi,2022_03_24_12_42_36
Léegi rek,2022_03_24_12_42_41
ginaw suba,2022_03_24_12_42_45
Bërki démb,2022_03_24_12_42_50
dangan bëg dem ngir,2022_03_24_12_42_56
waw. bëgna dem,2022_03_24_12_43_02
dedet menuma dem,2022_03_24_12_43_07
wóór na,2022_03_24_12_43_13
waaw,2022_03_24_12_43_15
Nanu jisse ci waxtu,2022_03_24_12_43_26
mangui lay mbëbetal tanee bu gaaw,2022_03_24_12_43_34
besbu delou ci moo neex,2022_03_24_12_44_09
feet bu neex,2022_03_24_12_44_20
deweneti,2022_03_24_12_44_25
Ndokkale,2022_03_24_12_44_28
Li rafetna,2022_03_24_12_45_17
Li baaxna,2022_03_24_12_45_22
beg na li lol,2022_03_24_12_45_24
asamaan dafa neex tay,2022_03_24_12_45_30
mongi taaw,2022_03_24_12_45_37
dafa ngelaw,2022_03_24_12_45_40
dafa nis,2022_03_24_12_45_51
damala bëg,2022_03_24_12_45_54
bëgumala,2022_03_24_12_45_58
bëg na li,2022_03_24_12_46_40
bëguma li,2022_03_24_12_46_51
xalaat bu baax,2022_03_24_12_47_08
xalaat bu boon,2022_03_24_12_47_11
lep nonula,2022_03_24_12_47_16
dafa reelu,2022_03_24_12_47_49
way,2022_03_24_12_47_57
Nu yendu ak jàmm.,2022_03_24_12_48_02
neex nama,2022_03_24_12_48_04
may ma jaam,2022_03_24_12_48_13
demal,2022_03_24_12_48_17
nimbal,2022_03_24_12_48_20
soxla naa nimbal,2022_03_24_12_48_24
dama soxla sa nimbal,2022_03_24_12_48_29
bäaxna,2022_03_24_12_48_33
bòon,2022_03_24_12_48_37
géey,2022_03_24_12_48_39
woop,2022_03_24_12_49_30
bég,2022_03_24_12_49_35
jaaxle,2022_03_24_12_49_38
Nii rek,2022_03_24_12_49_43
sonn,2022_03_24_12_50_00
xiif,2022_03_24_12_50_03
sonn touti,2022_03_24_12_50_06
sonn bu baax,2022_03_24_12_50_10
Déegu ma,2022_03_24_12_50_18
baal ma,2022_03_24_12_50_25
Ndax mën nga,2022_03_24_12_50_30
mangui jegalu,2022_03_24_12_50_49
waw,2022_03_24_12_50_52
dëdet,2022_03_24_12_50_55
meun na am,2022_03_24_12_50_58
xäamuma,2022_03_24_12_51_01
naaje,2022_03_24_12_51_04
tél,2022_03_24_12_51_07
meer,2022_03_24_12_51_13
géey,2022_03_24_12_51_16
xaat,2022_03_24_12_51_19
dama xaat,2022_03_24_12_51_22
dina xaat ,2022_03_24_12_51_26
dama xaaton,2022_03_24_12_51_31
ragaal,2022_03_24_12_51_42
dama ragaalon,2022_03_24_12_51_48
jaaxlee ,2022_03_24_12_52_04
seed ,2022_03_24_12_52_07
lewet,2022_03_24_12_52_10
reetan,2022_03_24_12_52_18
fateelikou,2022_03_24_12_52_21
ndax mën ngan ma wo,2022_03_24_12_52_26
waxaal ndak,2022_03_24_12_52_30
lolu du jafee jafee,2022_03_24_12_52_39
waxat ko,2022_03_24_12_52_44
joxma,2022_03_24_12_52_47
Noo tudd?,2022_03_24_12_52_51
la tudd,2022_03_24_12_52_54
Foo jógé?,2022_03_24_12_52_57
la jógé,2022_03_24_12_53_04
li laa,2022_03_24_12_53_32
ñaata att ga am,2022_03_24_12_53_36
---- la am,2022_03_24_12_53_40
loy def,2022_03_24_12_53_44
ci ---lay ligéey,2022_03_24_12_53_48
Foo dëkk,2022_03_24_12_54_50
 mangui dëkk,2022_03_24_12_55_23
meun na am sa nimero,2022_03_24_12_55_27
Am nga jëkkër/a jabar.?,2022_03_24_12_55_33
ñaata doom gan am,2022_03_24_12_55_59
banneex la ma jiis la,2022_03_24_12_56_10
ban waxtu mo jót,2022_03_24_12_56_20
nonggo darra bu jigéen,2022_03_24_12_56_36
nonggo darra bu góor,2022_03_24_12_56_40
ay nonggo darra,2022_03_24_12_56_43
jangalekat,2022_03_24_12_57_11
taabal,2022_03_24_12_57_15
neeg,2022_03_24_12_57_49
jongantee,2022_03_24_12_58_08
laaj,2022_03_24_12_58_47
daara,2022_03_24_12_59_27
damay dèm darra,2022_03_24_12_59_32
dafay dèm darra,2022_03_24_12_59_36
naaje,2022_03_24_12_59_40
tél,2022_03_24_12_59_56
dama téla yéwu,2022_03_24_13_00_03
toog neeg ba,2022_03_24_13_00_09
agsi,2022_03_24_13_01_07
tontu,2022_03_24_13_00_15
dama am ab laaj,2022_03_24_13_00_20
Dégguma ,2022_03_24_13_01_31
jël laaj,2022_03_24_13_01_38
meun gama léral,2022_03_24_13_01_44
léral,2022_03_24_13_01_48
ndax mën ga tektal teere buma jang,2022_03_24_13_01_56
mën ga tektal teere buma jang?,2022_03_24_13_02_02
ndax mën gan wax ndak,2022_03_24_13_02_08
jafeena ma Dég ko,2022_03_24_13_02_12
jogante bi da saafon,2022_03_24_13_02_16
jogante,2022_03_24_13_02_20
dafa saaf,2022_03_24_13_02_25
alluwa bu ñuul,2022_03_24_13_02_56
ordinatëeru,2022_03_24_13_03_02
teere,2022_03_24_13_03_10
kereyon,2022_03_24_13_03_58
bikk,2022_03_24_13_04_02
deglu,2022_03_24_13_04_11
defal ndak,2022_03_24_13_04_16
darra yu kawee yi,2022_03_24_13_04_35
daara yu ndaw yi,2022_03_24_13_04_40
mangi jangee ci darra yu kawee yi,2022_03_24_13_04_44
tew na ci darra ji,2022_03_24_13_04_49
fayu darra ji,2022_03_24_13_04_54
daraay teere,2022_03_24_13_04_58
kër/kawaay,2022_03_24_13_05_03
damay ñibi,2022_03_24_13_05_07
damay deem darra ja,2022_03_24_13_05_11
damay deem kër ga,2022_03_24_13_05_16
feet,2022_03_24_13_05_20
feet la,2022_03_24_13_05_27
daño nek feet,2022_03_24_13_05_31
takkandeer,2022_03_24_13_05_39
màndargakay,2022_03_24_13_06_00
ñawul,2022_03_24_13_06_07
ñawna,2022_03_24_13_06_12
deglu,2022_03_24_13_06_16
def jogante,2022_03_24_13_06_20
laaj ab jogante,2022_03_24_13_06_27
ñarel darra yi,2022_03_24_13_06_34
darra yu ndaw yi,2022_03_24_13_06_39
dig darra yi,2022_03_24_13_06_44
arminaatu darra,2022_03_24_13_06_59
wáll,2022_03_24_13_07_03
caytukatu kureel,2022_03_24_13_07_09
jangalekat,2022_03_24_13_07_14
jappalewaay,2022_03_24_13_07_18
li ñaata la?,2022_03_24_13_07_24
dafa seer lolu,2022_03_24_13_45_09
ndax mën ngan wañi njëg bi,2022_03_24_13_45_14
joxma sama wečet,2022_03_24_13_45_19
am ngan wečet,2022_03_24_13_46_07
am ngan ...?,2022_03_24_13_46_31
xaliis ,2022_03_24_13_46_35
wečet,2022_03_24_13_47_03
jay kat,2022_03_24_13_47_13
jënd kat,2022_03_24_13_47_17
taxawayu kaar,2022_03_24_13_47_25
taksi,2022_03_24_13_47_30
Kaar,2022_03_24_13_47_34
def,2022_03_24_13_47_39
yoon,2022_03_24_13_47_43
mbédd,2022_03_24_13_47_47
yamal fi,2022_03_24_13_47_52
dawal kat,2022_03_24_13_48_18
fan la kaar bi di yam,2022_03_24_13_48_24
dama bëga dém ----,2022_03_24_13_48_30
amgan weccat,2022_03_24_13_48_35
fan la mëna amee kaar,2022_03_25_10_30_31
fan moy marse bi,2022_03_25_10_30_37
fan la mëna jeundee,2022_03_25_10_30_42
ñata waxtu lay def ngir agg,2022_03_25_10_30_49
fu dispañseer bi nek,2022_03_25_10_30_55
ndax amna jaaykat bu jege?,2022_03_25_10_31_03
ndax amna farmasin bu jege?,2022_03_25_10_31_10
fu jaaka bu jege bi nek?,2022_03_25_10_31_35
paas bi gnata la?,2022_03_25_10_31_55
nunu fay demei,2022_03_25_10_32_05
jawwu ji,2022_03_25_10_32_13
bànk,2022_03_25_10_32_20
sa poliss ba,2022_03_25_10_32_26
waanake bi fan la?,2022_03_25_10_32_32
biro dugal xabaar,2022_03_25_10_32_39
kaafe internet,2022_03_25_10_33_35
fi,2022_03_25_10_33_41
foofu,2022_03_25_10_33_45
jàdd ndeyjoor,2022_03_25_10_34_07
jàdd càmmoñ,2022_03_25_10_34_12
jubalal,2022_03_25_10_34_17
aeroport,2022_03_25_10_34_22
dëkk,2022_03_25_10_34_26
ndax dangan waax àngalee,2022_03_25_10_35_17
ndax dangan waax wolof,2022_03_25_10_35_44
fi la!,2022_03_25_10_35_54
touti wolof lay waax,2022_03_25_10_36_49
anna Moussou/ Armand,2022_03_25_10_36_59
mongui si neegu daara ji,2022_03_25_10_37_04
mongui si neegam,2022_03_25_10_37_12
mongui si kër gui,2022_03_25_10_37_17
da genn,2022_03_25_10_37_45
dem na si marsee ba,2022_03_25_10_37_52
ndax jiis ngan Moussou/ Frank tay,2022_03_25_10_38_00
dedet jisoumako,2022_03_25_10_38_23
xale bu gòor/ bu jigeen yiy joxee leek,2022_03_25_10_38_30
ndax mën na am alluwa tog yi,2022_03_25_10_39_05
bëg na am,2022_03_25_10_39_11
duma leek ndawal/nen/,2022_03_25_10_39_36
thieb,2022_03_25_10_39_42
ndawal,2022_03_25_10_39_46
jën,2022_03_25_10_39_51
 nak,2022_03_25_10_39_59
makaróni,2022_03_25_10_40_04
salaat,2022_03_25_10_40_09
tamaate,2022_03_25_10_40_13
komkombar,2022_03_25_10_40_24
meew,2022_03_25_10_40_30
ganaar,2022_03_25_10_40_35
nen,2022_03_25_10_40_41
mbam-xuux,2022_03_25_10_40_49
lekukatu lujum,2022_03_25_10_46_54
lujum,2022_03_25_10_47_14
supp,2022_03_25_10_47_20
Sauce ,2022_03_25_10_49_57
ndox,2022_03_25_10_50_03
naan,2022_03_25_10_50_39
luñuy naan,2022_03_25_10_52_29
attaaya,2022_03_25_10_52_35
kafee,2022_03_25_10_52_51
yaapa,2022_03_25_10_54_59
suukar,2022_03_25_10_55_15
mbuuru,2022_03_25_10_55_21
bër,2022_03_25_10_57_02
xorom,2022_03_25_10_57_12
njogonal,2022_03_25_10_57_31
nexna lol,2022_03_25_10_57_36
dama xiif,2022_03_25_10_57_44
dama jomlu,2022_03_25_11_32_14
lek bi tang na lol,2022_03_25_11_27_18
mën na am toti sukaar,2022_03_25_11_27_23
kuddu,2022_03_25_11_27_52
furset,2022_03_25_11_27_47
palaat,2022_03_25_11_27_58
ndox,2022_03_25_11_32_53
galaas,2022_03_25_11_33_28
ndax mën na am taabalu gnari/gnët,2022_03_25_11_33_45
ndoxuum suraas/pom/anaanas,2022_03_25_11_33_52
lëk gui dafa sed ndax mën gama ko tangalal,2022_03_25_11_35_09
nañu deem añi,2022_03_25_11_35_17
lan mo am ndeki/añ/reer,2022_03_25_11_35_28
Lu la jot? / lu lay metti?,2022_03_25_11_35_35
Fu lay metti?,2022_03_25_11_37_07
Ban feebar nga ame?,2022_03_25_11_37_13
dafay xasan,2022_03_25_11_37_19
Sama ------------- dafay metti,2022_03_25_11_39_20
Sama bopp dafay metti,2022_03_25_11_39_26
Dama soj,2022_03_25_11_40_31
Damay sëqët,2022_03_25_11_40_36
Damay miir,2022_03_25_11_40_42
Sama biir dafay daw,2022_03_25_11_40_51
Dama am saan,2022_03_25_11_40_57
Dama am góom,2022_03_25_11_42_19
Dama sibbiru,2022_03_25_11_42_30
Dama jaxle,2022_03_25_11_42_36
Dama kontaan / Dama bég,2022_03_25_11_42_43
Dama taayel,2022_03_25_11_42_49
Dama mer,2022_03_25_11_42_55
Sama yaram dafa tang.,2022_03_25_11_43_01
Sama xel dafay teey,2022_03_25_11_43_13
------- moo ma màtt,2022_03_25_12_22_29
Mbaa yaangi tane?,2022_03_25_12_22_39
"Maangi tane, tane wolof rekk",2022_03_25_12_22_46
Yalla na Yalla fëg sa bopp,2022_03_25_12_22_52
Taneel bu baax waay!,2022_03_25_12_22_59
Sama yaram neexul,2022_03_25_12_23_05
 xalaat naa ne dama feebar,2022_03_25_12_23_11
sama yaram dafa tang,2022_03_25_12_23_19
 Dinaa la bindal ordonaas,2022_03_25_12_23_25
Taneel gaaw bu baax waay,2022_03_25_12_23_32
dama soxla ay garab,2022_03_25_12_23_38
ndax mën ga ma yobu sa faajkat bi,2022_03_25_12_24_42
Jël garab,2022_03_25_12_24_48
at bu bees,2022_03_25_12_24_54
paak,2022_03_25_12_25_45
feetu liggéey,2022_03_25_12_25_52
koori,2022_03_25_12_25_58
tabaski,2022_03_25_12_26_04
beesu yek bi,2022_03_25_12_26_40
tamxarit,2022_03_25_12_26_46
magalu tubba,2022_03_25_12_26_52
gammu,2022_03_25_12_26_58
bees ñu bax ñi,2022_03_25_12_28_11
nowel,2022_03_25_12_28_19
beesu yay yi,2022_03_25_12_28_26
beesu paapa yi,2022_03_25_12_29_14
beesu mbegël,2022_03_25_12_29_25
beesu xalee yi,2022_03_25_12_29_31
bees bu delu ci,2022_03_25_12_29_37
definu feet bu nex,2022_03_25_12_29_44
feet bu nex,2022_03_25_12_29_51
benn,2022_03_25_12_30_00
lele,2022_03_25_12_30_06
kaw,2022_03_25_12_30_13
biir,2022_03_25_12_30_19
biti,2022_03_25_12_30_25
suufu,2022_03_25_12_30_35
jege,2022_03_25_12_30_45
ganaaw,2022_03_25_12_31_15
kanaam,2022_03_25_12_31_21
sori,2022_03_25_12_31_29
diggante,2022_03_25_12_31_36
ganaaw,2022_03_25_12_31_42
bees bu nek,2022_03_25_12_31_48
yën say,2022_03_25_12_31_54
waxtu bu nek,2022_03_25_12_32_01
demb,2022_03_25_12_32_08
xalee yu ndaw yi,2022_03_25_12_32_15
mag ñi,2022_03_25_12_32_21
goor,2022_03_25_12_33_49
jigeen,2022_03_25_12_33_55
xalee,2022_03_25_12_34_08
dekeunddo,2022_03_25_12_34_14
suba,2022_03_25_12_34_21
ngoon,2022_03_25_12_34_29
guddi,2022_03_25_12_34_52
ndekki,2022_03_25_12_34_59
añ,2022_03_25_12_35_06
reer,2022_03_25_12_35_12
altine,2022_03_25_12_35_25
talaata,2022_03_25_12_35_32
alaarba,2022_03_25_12_35_44
alxaamis,2022_03_25_12_35_55
aljuma,2022_03_25_12_43_38
gawu,2022_03_25_12_50_15
dibeer,2022_03_25_12_49_20
waxtu juli,2022_03_25_12_49_30
lu bees,2022_03_25_12_50_32
mag,2022_03_25_12_50_38
njool,2022_03_25_12_50_45
gaat,2022_03_25_12_50_51
am yaram,2022_03_25_12_51_29
sew,2022_03_25_12_51_35
xess,2022_03_25_12_59_13
ñul,2022_03_25_12_59_20
xalee bu goor bu rafet,2022_03_25_13_01_06
tilim,2022_03_25_13_01_13
reew,2022_03_25_13_01_24
xalee bu goor,2022_03_25_13_01_31
mbebët,2022_03_25_13_01_37
baxa-baxa,2022_03_25_13_01_44
mboq,2022_03_25_13_01_50
xonq,2022_03_25_13_01_57
soqolaa,2022_03_25_17_00_10
ñuul,2022_03_25_17_00_17
weex,2022_03_25_17_00_24
soraans,2022_03_25_17_00_31
yolet,2022_03_25_17_00_37
wert,2022_03_25_17_00_43
benn,2022_03_25_17_00_55
ñaar,2022_03_25_17_15_50
ñett,2022_03_25_17_50_29
ñent,2022_03_25_17_50_36
juroom,2022_03_25_17_50_42
juroom-benn,2022_03_25_17_50_49
juroom-ñaar,2022_03_25_17_50_55
juroom-ñett,2022_03_25_17_51_02
juroom-ñent,2022_03_25_17_51_09
fukk,2022_03_25_17_51_16
fukk ak benn,2022_03_25_17_51_22
fukk ak ñaar,2022_03_25_17_51_45
fukk ak ñett,2022_03_25_17_51_52
fukk ak ñent,2022_03_25_17_52_11
fukk ak juroom,2022_03_25_17_52_30
fukk ak juroom benn,2022_03_25_17_52_37
fukk ak juroom ñaar,2022_03_25_17_52_45
fukk ak juroom ñett,2022_03_25_17_52_52
fukk ak juroom ñent,2022_03_25_17_53_00
ñaar fukk,2022_03_25_17_53_07
ñaar fukk ak benn,2022_03_25_17_53_14
ñaar fukk ak juroom,2022_03_25_17_53_40
fanweer,2022_03_25_17_53_47
ñent fukk,2022_03_25_17_53_54
 juroom fukk,2022_03_25_17_54_13
jurooom benn fukk,2022_03_25_17_54_20
juroom ñaar fukk,2022_03_25_17_54_28
juroom ñett fukk,2022_03_25_17_54_35
juroom ñent fukk,2022_03_25_17_54_42
teemeer,2022_03_25_17_54_50
teemeer ak fukk,2022_03_25_17_55_18
teemeer ak ñaar fukk,2022_03_25_17_55_25
teemeer ak fanweer,2022_03_25_17_55_40
teemeer ak ñent fukk,2022_03_25_17_55_47
teemeer ak juroom fukk,2022_03_25_17_56_03
teemeer ak juroom benn fukk,2022_03_25_17_56_10
teemeer ak juroom ñaar fukk,2022_03_25_17_56_18
teemeer ak juroom ñett fukk,2022_03_25_17_56_25
teemeer ak juroom ñent fukk,2022_03_25_17_56_33
ñaari teemeer,2022_03_25_17_56_41
ñetti teemeer,2022_03_25_17_56_48
ñenti teemeer,2022_03_25_17_56_55
juroomi teemeer,2022_03_25_17_58_38
juroom benni teemeer,2022_03_25_17_58_47
juroom ñaari teemeer,2022_03_25_17_58_57
juroom ñetti teemeer,2022_03_25_17_59_10
juroom ñenti teemeer,2022_03_25_17_59_18
junni,2022_03_25_17_59_27
junni ak teemeer,2022_03_25_17_59_35
junni ak juroomi teemeer,2022_03_25_17_59_42
ñaari junni,2022_03_25_18_00_00
ñaari junni ak juroomi teemeer,2022_03_25_18_00_07
ñetti junni,2022_03_25_18_00_15
ñetti junni ak juroomi teemeer,2022_03_25_18_00_22
ñenti junni,2022_03_25_18_00_30
 juroomi junni,2022_03_25_18_00_37
fukki junni,2022_03_25_18_00_45
ñaar fukki junni,2022_03_25_18_00_55
fanweeri junni,2022_03_25_18_01_03
ñent fukki junni,2022_03_25_18_01_11
juroom fukki junni,2022_03_25_18_01_18
juroom benn fukki junni,2022_03_25_18_01_27
juroom ñaar fukki junni,2022_03_25_18_02_01
juroom ñett fukki junni,2022_03_25_18_02_10
juroom ñent fukki junni,2022_03_25_18_02_19
ñaar fukki junni,2022_03_25_18_02_28